# Height,   TempK,   Press,    RHum,    Wind,   WDir
   17.71,  301.25,101446.1, 13.9973,  2.6153, 197.64
   92.72,  300.91,100588.3, 14.1694,  2.6257, 200.82
  195.02,  300.08, 99429.7, 14.7882,  2.1987, 215.88
  325.29,  298.87, 97964.7, 15.6603,  2.1112, 223.53
  489.00,  297.30, 96147.3, 16.8614,  1.7717, 226.79
  696.84,  295.30, 93876.7, 18.5897,  1.0062, 242.02
  951.04,  292.86, 91151.3, 21.0305,  0.3608, 252.93
 1228.27,  290.17, 88242.4, 24.1047,  0.3155, 157.09
 1510.43,  287.51, 85350.8, 28.1379,  0.4455, 296.31
 1799.96,  285.24, 82458.9, 36.1979,  2.3028, 286.83
 2098.22,  283.67, 79564.2, 49.4754,  6.4166, 261.33
 2542.07,  282.21, 75456.7, 63.9403, 11.3192, 254.52
 3127.66,  279.38, 70285.0, 71.2505, 14.1987, 257.86
 3714.11,  276.16, 65408.8, 64.6724, 16.6639, 264.47
 4300.43,  272.85, 60815.6, 53.9165, 19.2514, 265.96
 4886.84,  269.59, 56492.0, 46.1035, 21.0381, 267.22
 5474.00,  266.41, 52422.5, 41.3575, 22.1382, 267.25
 6062.41,  263.29, 48594.0, 36.2861, 22.9161, 265.00
 6651.98,  259.82, 44994.4, 31.5456, 23.2711, 261.75
 7241.72,  255.55, 41611.8, 34.4333, 23.5950, 258.87
 7830.46,  250.75, 38434.7, 51.2118, 24.6045, 258.82
 8417.79,  245.99, 35452.8, 65.4769, 26.1115, 263.01
 9004.01,  241.48, 32657.1, 56.9658, 28.2147, 269.71
 9589.66,  237.09, 30038.1, 45.4258, 31.4528, 274.72
10175.01,  232.59, 27586.8, 43.9590, 34.8412, 276.03
10760.01,  227.93, 25293.9, 48.9612, 37.4852, 274.92
11344.54,  223.17, 23151.3, 54.2956, 38.8851, 273.79
11929.39,  218.92, 21151.1, 54.5486, 39.7361, 275.10
12517.14,  215.84, 19285.6, 45.4720, 41.8081, 278.76
13110.67,  213.36, 17547.7, 32.5139, 45.1202, 281.88
13707.70,  211.04, 15940.2, 18.5274, 48.3591, 283.37
14301.50,  208.68, 14471.7,  8.5784, 48.5760, 283.72
14889.03,  206.59, 13138.4,  4.3512, 44.6977, 283.85
15471.44,  205.03, 11927.7,  4.1698, 37.6608, 284.20
16050.02,  203.85, 10828.3,  6.2037, 29.6308, 285.10
16626.89,  203.77,  9830.1,  7.0553, 21.9467, 284.98
17204.75,  204.49,  8923.8,  5.3378, 16.1407, 285.44
17785.06,  205.45,  8100.8,  3.8330, 11.4365, 279.10
18368.93,  206.93,  7353.5,  2.9398,  6.7122, 263.35
18957.01,  208.34,  6675.1,  2.3959,  3.7866, 228.26
19546.83,  208.07,  6059.1,  2.3955,  2.7970, 182.95
20136.40,  208.05,  5499.7,  2.2098,  3.2622, 164.62
20727.05,  208.72,  4991.9,  1.7557,  3.6639, 146.96
21319.56,  209.24,  4530.8,  1.3894,  4.8611, 140.51
21915.09,  210.70,  4112.2,  0.9704,  6.3888, 118.85
22513.79,  211.32,  3732.1,  0.8118,  7.0201, 121.30
23116.35,  213.24,  3387.0,  0.6246,  7.6335, 116.25
23724.66,  215.18,  3073.6,  0.5447,  8.7905, 112.31
24339.35,  217.51,  2789.1,  0.4374, 10.6928, 106.02
24960.50,  219.47,  2530.8,  0.3462, 11.8577, 101.90
25586.66,  220.76,  2296.3,  0.2974, 12.4026,  98.83
26215.88,  221.32,  2083.4,  0.2813, 12.0942,  97.33
26847.62,  222.20,  1890.0,  0.2545, 11.6736,  97.16
27482.91,  223.43,  1714.5,  0.2167, 10.8595,  98.38
28122.66,  224.91,  1555.1,  0.1770,  9.5374, 105.16
28766.70,  225.99,  1410.5,  0.1491,  8.1676, 105.80
29415.33,  227.61,  1279.1,  0.1187,  7.0617, 101.78
30069.27,  229.14,  1159.8,  0.0957,  5.5100, 109.03
30726.79,  229.49,  1051.5,  0.0852,  2.7829, 129.62
